CustomerTier,PercentProfit,Actual Status,Predicted Status,Confidence (%)
6655972.81857143,0.3279825799617801,Not Converted,Not Converted,100.0
6655972.81857143,0.2872473623651347,Not Converted,Not Converted,65.0
6655972.81857143,0.2489348752282409,Converted,Converted,66.0
6655972.81857143,0.3446045978307862,Not Converted,Not Converted,100.0
6655972.81857143,0.2694705494429502,Not Converted,Not Converted,100.0
197553.81662162163,0.3326194923908441,Not Converted,Not Converted,67.0
197553.81662162163,0.243181818181818,Not Converted,Not Converted,81.0
6655972.81857143,0.355313924938618,Converted,Converted,100.0
6655972.81857143,0.1899681308022723,Converted,Converted,100.0
6655972.81857143,0.226509936962895,Not Converted,Converted,100.0
6655972.81857143,0.1902408894379245,Converted,Converted,100.0
197553.81662162163,0.2919011254019292,Converted,Converted,89.0
6655972.81857143,0.3335584064821076,Converted,Converted,100.0
6655972.81857143,0.2216117216117216,Converted,Converted,100.0
6655972.81857143,0.2235793945831171,Converted,Converted,70.0
6655972.81857143,0.1851239669421488,Converted,Converted,100.0
6655972.81857143,0.2631994559738337,Not Converted,Not Converted,100.0
6655972.81857143,0.281232519640976,Not Converted,Not Converted,100.0
197553.81662162163,0.2091189155884163,Converted,Converted,98.0
6655972.81857143,0.2205882352941175,Converted,Converted,100.0
6655972.81857143,0.2195540308747856,Converted,Converted,100.0
6655972.81857143,0.351326302293534,Not Converted,Converted,87.0
6655972.81857143,0.2158153345738839,Not Converted,Not Converted,100.0
6655972.81857143,0.3096865276323343,Not Converted,Not Converted,85.0
6655972.81857143,0.301580474831305,Not Converted,Not Converted,100.0
6655972.81857143,0.2085631731021832,Converted,Converted,97.0
6655972.81857143,0.342323651452282,Converted,Converted,100.0
6655972.81857143,0.1915772089182504,Converted,Converted,100.0
6655972.81857143,0.328102085557719,Not Converted,Not Converted,100.0
6655972.81857143,0.2184300341296927,Converted,Converted,100.0
6655972.81857143,0.2196078431372549,Converted,Converted,100.0
6655972.81857143,0.2771428571428569,Converted,Converted,100.0
6655972.81857143,0.3333333333333333,Converted,Converted,99.91336521611349
6655972.81857143,0.1898123324396784,Converted,Converted,100.0
6655972.81857143,0.3481012658227891,Converted,Converted,100.0
6655972.81857143,0.2393162393162393,Converted,Converted,93.0
6655972.81857143,0.3388429752066117,Converted,Converted,100.0
6655972.81857143,0.2190082644628099,Converted,Converted,100.0
6655972.81857143,0.2025822780653486,Not Converted,Not Converted,96.0
6655972.81857143,0.1753246753246753,Converted,Converted,100.0
6655972.81857143,0.1711825575562866,Not Converted,Not Converted,100.0
6655972.81857143,0.3043478260869565,Converted,Converted,98.90083958565987
197553.81662162163,0.1815141633463848,Not Converted,Converted,100.0
6655972.81857143,0.241816967267869,Converted,Converted,100.0
6655972.81857143,0.3591993581929792,Not Converted,Not Converted,100.0
6655972.81857143,0.3588774669037211,Not Converted,Not Converted,100.0
6655972.81857143,0.2746218532848389,Not Converted,Not Converted,100.0
6655972.81857143,0.1943127962085309,Converted,Converted,100.0
6655972.81857143,0.3354122349335228,Not Converted,Not Converted,91.0
6655972.81857143,0.3648648648648647,Converted,Converted,98.0
6655972.81857143,0.253968253968254,Converted,Converted,100.0
6655972.81857143,0.349753694581281,Converted,Converted,100.0
6655972.81857143,0.3057464846433945,Not Converted,Not Converted,100.0
6655972.81857143,0.3403774874587613,Not Converted,Not Converted,100.0
6655972.81857143,0.2256676038683509,Not Converted,Not Converted,100.0
6655972.81857143,0.2589935560925479,Not Converted,Not Converted,99.0
6655972.81857143,0.1900693212961469,Converted,Converted,100.0
6655972.81857143,0.2956887627327625,Not Converted,Not Converted,100.0
6655972.81857143,0.2195121951219513,Converted,Converted,100.0
6655972.81857143,0.2144433238503871,Not Converted,Not Converted,100.0
6655972.81857143,0.2657057813658698,Not Converted,Not Converted,100.0
197553.81662162163,0.1904778925545985,Converted,Converted,100.0
197553.81662162163,0.2171746190547055,Not Converted,Converted,91.0
6655972.81857143,0.2499999999999999,Converted,Converted,99.5443548270537
6655972.81857143,0.3223572691242615,Not Converted,Not Converted,100.0
6655972.81857143,0.3630238290879211,Converted,Converted,100.0
6655972.81857143,0.3675923395559129,Not Converted,Not Converted,100.0
6655972.81857143,0.2391910739191073,Converted,Converted,100.0
197553.81662162163,0.2327704949443891,Not Converted,Not Converted,72.0
6655972.81857143,0.2412603044772284,Not Converted,Not Converted,96.0
6655972.81857143,0.2895466135711937,Not Converted,Not Converted,100.0
6655972.81857143,0.178646934460888,Converted,Converted,100.0
6655972.81857143,0.3390838660513948,Not Converted,Not Converted,86.0
6655972.81857143,0.2500871602493488,Converted,Converted,100.0
6655972.81857143,0.2942220978462689,Not Converted,Not Converted,100.0
6655972.81857143,0.3200944987141457,Not Converted,Not Converted,67.0
6655972.81857143,0.1745869686281791,Converted,Converted,100.0
6655972.81857143,0.2686528896672503,Not Converted,Not Converted,100.0
6655972.81857143,0.2195,Converted,Converted,100.0
6655972.81857143,0.3516785366387963,Not Converted,Not Converted,100.0
6655972.81857143,0.1899681308022723,Converted,Converted,100.0
6655972.81857143,0.2924242424242424,Converted,Converted,100.0
6655972.81857143,0.310267857142857,Converted,Converted,100.0
6655972.81857143,0.3034682080924855,Converted,Converted,98.0
6655972.81857143,0.1766355140186916,Converted,Converted,100.0
6655972.81857143,0.3299307560648484,Not Converted,Not Converted,100.0
6655972.81857143,0.1745215083098814,Not Converted,Not Converted,100.0
6655972.81857143,0.1887550200803222,Converted,Converted,100.0
6655972.81857143,0.2438994429221439,Not Converted,Not Converted,100.0
6655972.81857143,0.2538418501859713,Not Converted,Not Converted,98.0
197553.81662162163,0.354368932038835,Converted,Converted,98.0
6655972.81857143,0.1899681528662421,Converted,Converted,100.0
6655972.81857143,0.1900693212961469,Converted,Converted,100.0
6655972.81857143,0.2196452933151431,Converted,Converted,100.0
6655972.81857143,0.2698642714238644,Not Converted,Not Converted,98.0
6655972.81857143,0.3388429752066117,Converted,Converted,100.0
6655972.81857143,0.2955550383988831,Converted,Converted,60.0
6655972.81857143,0.2166666666666666,Converted,Converted,99.6288458966555
6655972.81857143,0.3336206896551725,Converted,Converted,100.0
6655972.81857143,0.1723136435255613,Not Converted,Not Converted,87.0
6655972.81857143,0.1899681528662421,Converted,Converted,100.0
6655972.81857143,0.2682926829268292,Converted,Converted,100.0
6655972.81857143,0.177283653846154,Converted,Converted,100.0
6655972.81857143,0.1899681308022723,Converted,Converted,100.0
6655972.81857143,0.2049734569674079,Not Converted,Not Converted,99.0
6655972.81857143,0.276124634858812,Not Converted,Not Converted,100.0
6655972.81857143,0.2857142857142858,Not Converted,Converted,98.14659197006681
6655972.81857143,0.1784323826044807,Not Converted,Converted,64.0
6655972.81857143,0.2601069161376546,Converted,Converted,100.0
6655972.81857143,0.2565683462854575,Not Converted,Not Converted,100.0
6655972.81857143,0.2308635917566241,Converted,Converted,100.0
6655972.81857143,0.3058776612721453,Not Converted,Not Converted,100.0
6655972.81857143,0.3176996091568954,Converted,Converted,100.0
6655972.81857143,0.3577375032490961,Not Converted,Not Converted,83.0
6655972.81857143,0.1781305114638447,Converted,Converted,100.0
6655972.81857143,0.3483793406142918,Not Converted,Not Converted,100.0
197553.81662162163,0.2010999083409715,Converted,Not Converted,99.0
6655972.81857143,0.307680553425302,Not Converted,Not Converted,98.0
6655972.81857143,0.2794488950443147,Not Converted,Not Converted,100.0
6655972.81857143,0.3259668508287292,Converted,Converted,100.0
197553.81662162163,0.3575327809004103,Not Converted,Not Converted,64.0
6655972.81857143,0.2400344753285929,Converted,Converted,100.0
6655972.81857143,0.1900693212961469,Converted,Converted,100.0
6655972.81857143,0.302814951545916,Not Converted,Not Converted,100.0
6655972.81857143,0.3605208313798116,Not Converted,Not Converted,100.0
6655972.81857143,0.1760563380281689,Converted,Converted,100.0
6655972.81857143,0.1763110307414104,Converted,Not Converted,90.0
6655972.81857143,0.2015396776540377,Not Converted,Not Converted,99.0
6655972.81857143,0.2193419740777668,Converted,Converted,100.0
6655972.81857143,0.3370165745856426,Converted,Converted,100.0
6655972.81857143,0.2222514224806114,Not Converted,Not Converted,100.0
6655972.81857143,0.1789337843905558,Not Converted,Not Converted,100.0
6655972.81857143,0.3098341232227488,Converted,Converted,78.0
6655972.81857143,0.2184615384615384,Converted,Converted,100.0
6655972.81857143,0.202106618935567,Not Converted,Converted,100.0
6655972.81857143,0.3473642188733453,Not Converted,Not Converted,100.0
6655972.81857143,0.2134271687769344,Not Converted,Not Converted,100.0
6655972.81857143,0.2526482479784367,Not Converted,Not Converted,98.0
6655972.81857143,0.3649408255381203,Not Converted,Not Converted,99.0
6655972.81857143,0.3099647266313933,Converted,Converted,100.0
6655972.81857143,0.3632485143989029,Converted,Converted,93.0
6655972.81857143,0.1858881782545905,Converted,Converted,87.0
6655972.81857143,0.3564601769911504,Converted,Not Converted,100.0
6655972.81857143,0.1796219975999352,Not Converted,Converted,96.0
6655972.81857143,0.1851239669421488,Converted,Converted,100.0
6655972.81857143,0.3494140402776197,Converted,Converted,100.0
6655972.81857143,0.2370229854516369,Not Converted,Not Converted,100.0
6655972.81857143,0.2607419177053889,Not Converted,Converted,68.0
6655972.81857143,0.3499272036454426,Not Converted,Not Converted,100.0
197553.81662162163,0.314910025706941,Converted,Converted,99.0
6655972.81857143,0.3333333333333334,Converted,Converted,99.91336521611349
6655972.81857143,0.3333333333333334,Converted,Converted,99.91336521611349
6655972.81857143,0.1898507462686567,Converted,Converted,100.0
6655972.81857143,0.1900380710659898,Converted,Converted,100.0
6655972.81857143,0.1763616154131159,Converted,Converted,100.0
6655972.81857143,0.3282399898217796,Not Converted,Not Converted,70.0
6655972.81857143,0.2914170341481124,Not Converted,Not Converted,96.0
6655972.81857143,0.2615491146503115,Converted,Converted,100.0
6655972.81857143,0.2499999999999998,Converted,Converted,99.5443548270537
6655972.81857143,0.1897959183673468,Converted,Converted,100.0
6655972.81857143,0.2990603303186028,Not Converted,Not Converted,100.0
6655972.81857143,0.3275443283944619,Converted,Converted,95.0
6655972.81857143,0.3036303630363037,Converted,Converted,100.0
6655972.81857143,0.349753694581281,Converted,Converted,100.0
197553.81662162163,0.1803685329553509,Converted,Converted,100.0
6655972.81857143,0.1900393184796854,Converted,Converted,100.0
6655972.81857143,0.3539376396997539,Not Converted,Not Converted,99.0
6655972.81857143,0.2616551666693116,Not Converted,Not Converted,100.0
6655972.81857143,0.3597560975609757,Converted,Converted,100.0
6655972.81857143,0.2504829674070437,Not Converted,Converted,100.0
6655972.81857143,0.2355046528274875,Converted,Converted,100.0
6655972.81857143,0.1899326894937077,Converted,Converted,100.0
6655972.81857143,0.2474847705973379,Not Converted,Not Converted,100.0
6655972.81857143,0.1897959183673468,Converted,Converted,100.0
6655972.81857143,0.2377049180327869,Converted,Converted,100.0
6655972.81857143,0.1900687333426847,Converted,Converted,100.0
6655972.81857143,0.3523846110045176,Not Converted,Not Converted,100.0
6655972.81857143,0.189793673214589,Not Converted,Converted,100.0
6655972.81857143,0.2959354028661731,Not Converted,Not Converted,100.0
6655972.81857143,0.2923315252391312,Not Converted,Not Converted,100.0
6655972.81857143,0.2730027938561897,Not Converted,Not Converted,90.0
6655972.81857143,0.2196452933151431,Converted,Converted,100.0
6655972.81857143,0.2427499437176167,Not Converted,Not Converted,99.0
6655972.81857143,0.2039495909448762,Not Converted,Not Converted,84.0
6655972.81857143,0.2551234760144313,Not Converted,Not Converted,75.0
6655972.81857143,0.2729250334672021,Converted,Converted,100.0
6655972.81857143,0.3677046270005261,Not Converted,Not Converted,77.0
6655972.81857143,0.2021036814425244,Converted,Converted,100.0
6655972.81857143,0.3333333333333334,Converted,Converted,99.91336521611349
6655972.81857143,0.2976539589442814,Converted,Converted,91.0
6655972.81857143,0.2729250334672021,Converted,Converted,100.0
6655972.81857143,0.1899681308022723,Converted,Converted,100.0
6655972.81857143,0.3482329833043741,Not Converted,Not Converted,100.0
197553.81662162163,0.3109198030683906,Not Converted,Not Converted,77.0
6655972.81857143,0.2586426901135852,Not Converted,Not Converted,92.0
6655972.81857143,0.3667953667953668,Converted,Converted,100.0
6655972.81857143,0.1900687333426847,Converted,Converted,100.0
6655972.81857143,0.1990554486618855,Converted,Converted,100.0
6655972.81857143,0.18568969551686,Not Converted,Not Converted,94.0
6655972.81857143,0.1900693212961469,Converted,Converted,100.0
6655972.81857143,0.2746886187165137,Not Converted,Not Converted,100.0
6655972.81857143,0.1897491821155943,Converted,Converted,100.0
6655972.81857143,0.2195540308747856,Converted,Converted,100.0
6655972.81857143,0.3429375332978156,Not Converted,Not Converted,100.0
6655972.81857143,0.1993517017828255,Converted,Converted,100.0
6655972.81857143,0.3371737776288482,Not Converted,Not Converted,100.0
6655972.81857143,0.239795918367347,Converted,Converted,100.0
6655972.81857143,0.2607670535801215,Not Converted,Not Converted,100.0
6655972.81857143,0.1781305114638447,Converted,Converted,100.0
6655972.81857143,0.364973966643474,Not Converted,Not Converted,100.0
6655972.81857143,0.1759918616480163,Converted,Converted,99.0
6655972.81857143,0.326180620464143,Not Converted,Not Converted,99.0
6655972.81857143,0.1899353210285534,Converted,Converted,100.0
6655972.81857143,0.2771126760563382,Converted,Converted,100.0
6655972.81857143,0.2444771723122237,Converted,Converted,99.0
6655972.81857143,0.2196796338672768,Converted,Converted,100.0
6655972.81857143,0.1915772089182504,Converted,Converted,100.0
6655972.81857143,0.2736486486486487,Converted,Converted,100.0
6655972.81857143,0.1908962597035995,Not Converted,Not Converted,100.0
6655972.81857143,0.3275559198969435,Converted,Converted,93.0
6655972.81857143,0.3296627666896079,Converted,Converted,100.0
6655972.81857143,0.2685497817269361,Not Converted,Converted,84.0
6655972.81857143,0.3355555555555554,Converted,Converted,100.0
6655972.81857143,0.3674121405750797,Converted,Converted,100.0
6655972.81857143,0.2542032955735303,Not Converted,Not Converted,100.0
197553.81662162163,0.2807487072739593,Converted,Converted,93.0
6655972.81857143,0.2339852673555138,Not Converted,Not Converted,100.0
6655972.81857143,0.1897491821155943,Converted,Converted,100.0
6655972.81857143,0.3439999999999998,Converted,Converted,100.0
6655972.81857143,0.3667953667953668,Converted,Converted,100.0
6655972.81857143,0.315995307000391,Converted,Converted,100.0
6655972.81857143,0.1783117473301522,Converted,Converted,86.0
6655972.81857143,0.3209110446960573,Not Converted,Not Converted,98.0
6655972.81857143,0.3337216074548652,Converted,Converted,100.0
6655972.81857143,0.2873281671543882,Not Converted,Not Converted,87.0
6655972.81857143,0.3074587926816129,Not Converted,Not Converted,100.0
6655972.81857143,0.1891502640422468,Converted,Not Converted,100.0
6655972.81857143,0.3289473684210526,Converted,Not Converted,100.0
197553.81662162163,0.3333333333333334,Converted,Converted,99.28293988003867
6655972.81857143,0.3567339627436827,Not Converted,Not Converted,100.0
6655972.81857143,0.3698213198696601,Converted,Converted,100.0
6655972.81857143,0.2568578553615961,Converted,Converted,100.0
6655972.81857143,0.2293554056594957,Not Converted,Not Converted,77.0
6655972.81857143,0.1986084756483237,Converted,Converted,99.0
6655972.81857143,0.3561327547779227,Not Converted,Not Converted,93.0
6655972.81857143,0.2166666666666666,Converted,Converted,99.6288458966555
6655972.81857143,0.3690416716954189,Not Converted,Not Converted,99.0
6655972.81857143,0.1765112603713947,Converted,Converted,100.0
6655972.81857143,0.2658235204676388,Not Converted,Converted,85.0
6655972.81857143,0.2831858407079647,Converted,Converted,100.0
6655972.81857143,0.2466857026310421,Converted,Converted,89.0
6655972.81857143,0.3692272519433011,Converted,Converted,100.0
6655972.81857143,0.3445759229079572,Converted,Converted,98.0
6655972.81857143,0.3041303276260296,Not Converted,Not Converted,100.0
