CustomerTier,PercentProfit,Actual Status,Predicted Status,Confidence (%)
4320717.807058823,0.2292884346266051,Lost,Won,98.0
135861.51845794392,0.2024756852343059,Won,Won,99.0
4320717.807058823,0.2765209119386456,Lost,Lost,90.0
4320717.807058823,0.3514352229508108,Won,Won,98.0
135861.51845794392,0.184018390083983,Won,Won,100.0
4320717.807058823,0.2550117736905748,Won,Won,100.0
4320717.807058823,0.3407135168925325,Lost,Lost,93.0
4320717.807058823,0.3646776579078186,Lost,Lost,100.0
4320717.807058823,0.3429885179099724,Lost,Won,86.0
135861.51845794392,0.3333333333333332,Won,Won,100.0
4320717.807058823,0.2081644048805537,Lost,Lost,94.0
4320717.807058823,0.3622135326424066,Lost,Lost,68.0
4320717.807058823,0.3455247896517221,Lost,Lost,100.0
4320717.807058823,0.3151599356822656,Lost,Won,63.0
4320717.807058823,0.25,Won,Won,100.0
4320717.807058823,0.3542839002570562,Lost,Lost,91.0
4320717.807058823,0.29237783895261,Lost,Won,71.0
135861.51845794392,0.25,Won,Won,100.0
4320717.807058823,0.2048957948897806,Lost,Lost,93.0
4320717.807058823,0.3633533598870153,Lost,Lost,100.0
4320717.807058823,0.3669736530291537,Lost,Won,92.0
4320717.807058823,0.3000710629888422,Lost,Lost,100.0
4320717.807058823,0.19166002419279243,Won,Lost,100.0
4320717.807058823,0.2176990320841828,Won,Won,100.0
4320717.807058823,0.1877458962158245,Lost,Lost,100.0
135861.51845794392,0.2508017960230916,Won,Won,100.0
4320717.807058823,0.29647175233633155,Won,Lost,100.0
135861.51845794392,0.2581078412111873,Won,Won,99.0
4320717.807058823,0.2183846288232634,Won,Lost,88.0
4320717.807058823,0.364835633263645,Lost,Lost,100.0
4320717.807058823,0.2372932090995768,Won,Lost,100.0
4320717.807058823,0.27143062201542634,Won,Won,100.0
4320717.807058823,0.1983421156640717,Lost,Lost,97.0
4320717.807058823,0.2874472573839662,Won,Won,99.0
4320717.807058823,0.2499874112493076,Won,Won,100.0
4320717.807058823,0.3183978275627957,Won,Won,100.0
4320717.807058823,0.3207546744896696,Lost,Won,65.0
4320717.807058823,0.30370422243353046,Won,Won,62.0
4320717.807058823,0.3263265306122448,Won,Won,100.0
4320717.807058823,0.2197442280340126,Lost,Won,70.0
4320717.807058823,0.3105840593739918,Won,Won,100.0
135861.51845794392,0.2326388888888889,Won,Won,90.0
4320717.807058823,0.3318840989480797,Lost,Lost,100.0
135861.51845794392,0.2752197572205943,Won,Won,100.0
135861.51845794392,0.2608376193975019,Won,Won,92.0
4320717.807058823,0.2029869639745142,Lost,Lost,100.0
135861.51845794392,0.25039887197064914,Won,Lost,66.0
4320717.807058823,0.3643246515283907,Lost,Lost,100.0
4320717.807058823,0.1726026095588453,Lost,Lost,100.0
4320717.807058823,0.3469691026065948,Lost,Lost,100.0
4320717.807058823,0.2977495112066661,Lost,Lost,100.0
4320717.807058823,0.3528392136908715,Lost,Won,56.00000000000001
4320717.807058823,0.1764663023679417,Won,Won,100.0
4320717.807058823,0.2656739811912225,Won,Lost,67.0
135861.51845794392,0.25,Won,Won,100.0
4320717.807058823,0.2972566374720392,Lost,Lost,98.0
4320717.807058823,0.2500000000000001,Won,Won,100.0
4320717.807058823,0.1974234414469554,Lost,Lost,100.0
4320717.807058823,0.2827802242753996,Lost,Lost,100.0
4320717.807058823,0.1781305114638447,Won,Won,100.0
4320717.807058823,0.3465134883964968,Lost,Won,85.0
4320717.807058823,0.3486632409408383,Won,Lost,100.0
4320717.807058823,0.1788061056029674,Lost,Lost,100.0
4320717.807058823,0.3672803411515987,Lost,Lost,96.0
135861.51845794392,0.18748126434049345,Won,Won,99.0
4320717.807058823,0.3575022195915952,Won,Won,100.0
4320717.807058823,0.337547346012381,Lost,Lost,100.0
4320717.807058823,0.3650627615062762,Won,Lost,100.0
4320717.807058823,0.3217879527457647,Won,Lost,70.0
4320717.807058823,0.20081260304109422,Won,Won,72.0
4320717.807058823,0.3539231271715565,Lost,Lost,100.0
4320717.807058823,0.2850829073414715,Lost,Lost,99.0
4320717.807058823,0.2448846826007652,Lost,Lost,66.0
4320717.807058823,0.1802537889704438,Lost,Lost,88.0
4320717.807058823,0.3529528742485737,Lost,Won,59.0
